Original Text,Predicted Target,Predicted Stance,Ground Truth Target,Ground Truth Stance
". WhiteHouse has appealed a Trump-appointed judge's obstruction of CDCgov 's transportation mask mandate, but without an emergency stay, millions of lives remain in danger as we work our way through the courts. Demand action NOW with MarkedByCovid : actionnetwork.org Tell the White House: We need Covid-safe Transit People rely on public transportation to get to health care, work, school and other daily essential activities but a Trump-appointed judge struck down the CDC s mask transportation mandate. This...",mask mandates,FAVOR,Trump-appointed judge,AGAINST
"if you hate the Fire Island movie then, ok, why do you hate Asian people and gay people at the same time? unpack that.",gay people,FAVOR,Asian people and gay people,FAVOR
Me making my NFL debut in week 78 after the entire receiving core is hospitalized nate gh0stsarentreal Jul 30 The NFL needs a 82 game season man,nfl,FAVOR,The NFL,FAVOR
"On June 13, 1611, Smolensk fell to the Poles after the Russians defended it for 20 months. This occurred during the 1598-1613 Time of Troubles when Poland took advantage of Russia's weakness by engaging in regime change and military campaigns such as the occupation of Moscow.",poland,FAVOR,Smolensk,NONE
"Fgs stop calling Cummings a mad genius. He's just mad. The higher echelons of the civil service are as hidebound by private education as the Tory party, law and the BBC. Cummings is one of them, just more arrogant and a bit contrary.. Weed out establishment cabals. wato",establishment,AGAINST,Cummings,AGAINST
"ariana fans telling Black and Indigenous people to go k ll themselves for standing up against her anti Indigenous racist ass, are FUCKED. y'all are too comfortable defending racism and it shows.",racism,AGAINST,Anti Indigenous Racist,AGAINST
"Locals in Wicklow Ireland last night fighting with recently moved in migrants over allegations they have been harassing local women 1,059 2,574 7,043",violence,AGAINST,Locals in Wicklow,FAVOR
"Graphic from the recentish archive. As of 2018 the US only had meaningful forces in Japan, Germany, Korea and Afghanistan. Afgh is now closed down, and the rest of the MidEast is close behind. Germany is next basing there largely exists to serve MidEast deployments .",us military presence,AGAINST,the US forces,NONE
"Does Russia have any similar decoy-launchers to Rheinmetall's MASS or any other modern western decoy launching systems with modern decoys? China has some pretty neat solutions of their own, but I'm not sure what Russian ships have.",decoy launcher,FAVOR,modern western decoy launching systems ,FAVOR
"The 5 anti-Constitutionalist RINOs who voted for the inane House gun control bill: Anthony Gonzalez, Ohio Fred Upton, Michigan Brian Fitzpatrick, PA Adam Kinzinger, Illinois Chris Jacobs, New York",gun control,FAVOR,inane House gun control bill,AGAINST
"Thank you, Brandon Beane, Sean McDermott, and the entire Bills organization, for having the guts and courage to do what so many other NFL teams wouldn t do. 154 344 3,460",nfl,FAVOR,Bills Organization,FAVOR
This!!! and the only reason they hiked the prices up 4 was so the CEO didn t have to take a pay cut.,price increase,FAVOR,pay cut,NONE
"AG Garland met with tsiaras kostas to reinforce bilateral cooperation on cybercrime amp terrorism protecting both our countries national security. We thank our partners for their judicial assistance on law enforcement operations. Kostas Tsiaras tsiaras kostas Jun 9, 2022 Merrick B. Garland . Show this thread",bilateral cooperation on cybercrime and terrorism,FAVOR,Countries National Security,FAVOR
My girl is a dual Saudi American. In women s rights activists get detained tortured see: LoujainHathloul . We escaped saudi made it to the USA in 2019. My daughters teacher texted me today saying she is leading girls rights protests at school I AM SO PROUD!!!!,saudi arabia,FAVOR,women s rights activists,FAVOR
"Living With Covid local edition: 2 dear friends currently have Covid, 1 recently boosted, both sick, one on 3rd week of symptoms. Acquaintance had chest pains 3 weeks after Covid, went to ER and was found to have spot on her lung going for further testing embolism eval?",covid,AGAINST,Covid Local Edition,AGAINST
"The govt has cut funding to arts depts across UK universities. Today at Uni of Wolverhampton wlv uni I saw the value of creative subjects first hand. British film and art is in safe hands with their students - and are vital to our cultural economic output. University of Wolverhampton wlv uni Jan 20, 2022 We re so pleased to welcome MattWestern to our city campus today learning all about the University of Opportunity, touring our brand new screen school and getting a sneak peek of British Art Show 9.",university funding,FAVOR,Uni of Wolverhampton,FAVOR
Sure are a lot of white far leftists socialists celebrating the Rittenhouse verdict today. They are who we said they were.,racist,AGAINST,white far leftists socialists,FAVOR
"Ok, I can FINALLY back with Twitter!!! Urgh, still in quarantine post-covid-infection, and my Gmail and Twitter inbox are stuffed, and I have a whole semester to re-study, but I'm slowly back to my old track I think....",quarantine,FAVOR,post-covid-infection,AGAINST
